1,1,898445,SKI - DC1,Jl. Rawa Gelam IV No. 6,JAKARTA TIMUR,13930,SKI-Z4,SKI Z4,300
2,1,900689,SKI-PT. AKUR PRATAMA_YOGYA GROUP,"JL. RE.MARTADINATA NO.3 SMI, S",SUKABUMI,43111,SKI-Z1CP01,SUKABUMI KOTA,200
3,1,900693,SKI-PT. AKUR PRATAMA (CJR)_YOGYA,"JL. RE.MARTADINATA NO.3 SMI, S",SUKABUMI,43111,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
4,1,900697,SKI-TK. BINTANG TIMUR,PS. BJ. MERON NO.44 BJ.MERON,CIANJUR,43214,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
5,1,900702,SKI-TK. KERSAMANAH II,"PS. CIRANJANG NO. 24 A CRJ , C",CIANJUR,43282,SKI-RXLK01,EXP LUAR KOTA CIANJUR,301
6,1,900703,SKI-TK. SRI,"JL. LENGKONG RT.04/01 JAMPANG,",SUKABUMI,43174,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",204
7,1,900704,SKI-TK. SEGAR,JL.TIPAR GEDE RUKO 1 NO. 21,SUKABUMI,43141,SKI-Z1CP01,SUKABUMI KOTA,200
8,1,900705,SKI-TK. HASIL,"JL.TANGGEUNG WR.TILU CIANJUR,",CIANJUR,43267,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
9,1,900706,SKI-TK. DOA IBU,PS. PARUNG KUDA BLK H NO.6 SMI,KAB. SUKABUMI,43357,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
10,1,900708,SKI-TK. JATI ASIH,PS. INDUK PASIR HAYAM BLOK C N,CIANJUR,43214,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
11,1,900709,SKI-TK. AGYARI,JL.TANGGEUNG WANGUN NO.3 CJR,CIANJUR,43267,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
12,1,900710,SKI-TK. JMFARMA,JL. TANGGEUNG NO.7 CIANJUR,CIANJUR,43267,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
13,1,900711,SKI-DINAS KESEHATAN KOTA SUKABUM,JL. SURYAKENCANA NO.45 RT.01/0,SUKABUMI,43114,SKI-Z1PH01,SUKABUMI KOTA,100
14,1,900712,SKI-TK. MILIK,PS. RAHAYU CIPANAS BLOK A NO.,CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
15,1,900713,SKI-TK. AJIB,PS PARUNG KUDA BLOK DEPAN 19 B,KAB. SUKABUMI,43357,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",202
16,1,900714,SKI-TK. DOA IBU,"PS. RAHAYU RH NO. 5 CIPANAS, C",CIANJUR,43253,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
17,1,900715,SKI-AP. KIMIA FARMA 8,"JL. VETERAN II/2 SUKABUMI, SUK",SUKABUMI,43121,SKI-Z1PH01,SUKABUMI KOTA,100
18,1,900716,SKI-TK. SERASI,"PS. INDUK NO. 7 CIANJUR, CIANJ",CIANJUR,43211,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
